;;;;;;;;;;1.1
;;;;Выручка станций по дням
;;;;Наименование Ресторана: MESTO
;;;;Дата: 01.02.2026 - 28.02.2026
;Дата;;Код;Валюта;;burger;Касса Место;;Итого
;22.02.2026;;99VISA Альфабанк;;;;5 298.00;184 055.00;;189 353.00
;22.02.2026;;101Locards;;;;;9 648.00;;9 648.00
;23.02.2026;;1Рубли;;;;24 526.00;106 511.00;;131 037.00
;23.02.2026;;4VISA;;;;109 888.00;464 011.30;;573 899.30
;23.02.2026;;10ПДС оплата;;;;449.00;;;449.00
;;;;;;;;;;4.1
;Дата;;Код;Валюта;;burger;Касса Место;;Итого
;23.02.2026;;17Кальян;;;;;11 100.00;;11 100.00
;23.02.2026;;19Закрытие сертификата;;;;3 994.00;3 000.00;;6 994.00
;23.02.2026;;44ЯндексОплата;;;;45 681.00;44 150.00;;89 831.00
;23.02.2026;;59Ю касса;;;;12 084.00;7 334.00;;19 418.00
;23.02.2026;;99VISA Альфабанк;;;;;202 617.00;;202 617.00
;23.02.2026;;101Locards;;;;;8 158.00;;8 158.00
;24.02.2026;;1Рубли;;;;7 980.00;91 964.40;;99 944.40
;24.02.2026;;4VISA;;;;30 162.00;203 079.50;;233 241.50
;24.02.2026;;17Кальян;;;;;1 700.00;;1 700.00
;24.02.2026;;44ЯндексОплата;;;;20 936.00;13 250.00;;34 186.00
;24.02.2026;;59Ю касса;;;;8 332.00;10 360.00;;18 692.00
;24.02.2026;;67На ланч;;;;;3 640.00;;3 640.00
;24.02.2026;;98Платежные карты;;;;;880.00;;880.00
;24.02.2026;;99VISA Альфабанксертификат;;;;1 975.00;92 476.00;;94 451.00
;24.02.2026;;101Locards;;;;;6 205.00;;6 205.00
;25.02.2026;;1Рубли;;;;3 641.00;86 282.50;;89 923.50
;25.02.2026;;4VISA;;;;55 615.00;249 529.75;;305 144.75
;25.02.2026;;10ПДС оплата;;;;;1 320.00;;1 320.00
;25.02.2026;;17Кальян;;;;;3 400.00;;3 400.00
;25.02.2026;;19Закрытие сертификата;;;;;3 000.00;;3 000.00
;25.02.2026;;44ЯндексОплата;;;;30 444.00;29 780.00;;60 224.00
;25.02.2026;;59Ю касса;;;;5 287.00;4 720.00;;10 007.00
;25.02.2026;;99VISA Альфабанк;;;;;113 898.50;;113 898.50
;25.02.2026;;101Locards;;;;;2 975.00;;2 975.00
;26.02.2026;;1Рубли;;;;23 038.00;86 008.00;;109 046.00
;26.02.2026;;4VISA;;;;6 444.00;279 725.50;;286 169.50
;26.02.2026;;17Кальян;;;;;3 400.00;;3 400.00
;26.02.2026;;44ЯндексОплата;;;;21 684.00;27 750.00;;49 434.00
;26.02.2026;;59Ю касса;;;;2 555.00;2 370.00;;4 925.00
;26.02.2026;;98Платежные карты;;;;;120.00;;120.00
;26.02.2026;;99VISA Альфабанксертификат;;;;62 412.00;119 092.50;;181 504.50
;26.02.2026;;101Locards;;;;;2 600.00;;2 600.00
;27.02.2026;;1Рубли;;;;16 562.00;143 382.50;;159 944.50
;27.02.2026;;4VISA;;;;10 443.00;508 486.00;;518 929.00
;27.02.2026;;10ПДС оплата;;;;529.00;;;529.00
;27.02.2026;;17Кальян;;;;;5 100.00;;5 100.00
;27.02.2026;;44ЯндексОплата;;;;24 655.00;36 960.00;;61 615.00
;27.02.2026;;59Ю касса;;;;13 899.00;11 161.00;;25 060.00
;27.02.2026;;99VISA Альфабанк;;;;94 606.00;107 351.50;;201 957.50
;27.02.2026;;101Locards;;;;;4 524.00;;4 524.00
;28.02.2026;;1Рубли;;;;49 711.00;282 817.42;;332 528.42
;28.02.2026;;4VISA;;;;167 698.00;797 867.00;;965 565.00
;28.02.2026;;10ПДС оплата;;;;2 222.00;9 580.00;;11 802.00
;28.02.2026;;17Кальян;;;;;16 900.00;;16 900.00
;28.02.2026;;19Закрытие сертификата;;;;;3 000.00;;3 000.00
;28.02.2026;;44ЯндексОплата;;;;27 328.00;37 820.00;;65 148.00
;28.02.2026;;59Ю касса;;;;7 824.00;12 160.00;;19 984.00
;28.02.2026;;99VISA Альфабанк;;;;9 577.00;111 412.25;;120 989.25
;28.02.2026;;101Locards;;;;;12 785.00;;12 785.00
;;;;;;;3 514 388.58;19 577 094.46;;23 091 483.04
