;;;;;;;;Расход блюд
;;;;;;Наименование Ресторана: MESTO
;;;;;;Дата: 04.03.2026 - 05.03.2026
;Код;;;Блюдо;;;Кол-во;Сумма;Скидка;;Оплачено
;6204Салат с кабачкои и кальмаром;;;;;;;2,00;1 260,00;;;1 260,00
;6223Молочный Улун БЛ;;;;;;;1,00;120,00;;;120,00
;6224Землянника со сливками БЛ;;;;;;;2,00;240,00;;;240,00
;6227Сидр Честерс ПЕРСИК_АБРИКОС 500мл;;;;;;;1,00;390,00;;;390,00
;6233ДостАкц_Чизкейк;;;;;;;1,00;;;;
;6255Креветки в соусе с артишоками;;;;;;;3,00;2 550,00;-85,00;;2 465,00
;6278Трезвая голова Саперави 750 мл;;;;;;;1,00;1 590,00;;;1 590,00
;6291Салат с курицей и ананасами БЛ;;;;;;;19,00;3 230,00;;;3 230,00
;6292Паста с грибами БЛ;;;;;;;19,00;3 990,00;;;3 990,00
;6293Сковородка с мясом и картофелем БЛ;;;;;;;56,00;11 760,00;;;11 760,00
;6295Булгур со свининой БЛ;;;;;;;25,00;5 250,00;;;5 250,00
;6301Мейзон 500мл;;;;;;;15,00;7 050,00;-658,00;;6 392,00
;6302Мейзон 500мл;;;;;;;3,00;1 050,00;;;1 050,00
;6309АКЦ НК Клубника Базилик;;;;;;;1,00;190,00;;;190,00
;6310АКЦ НК Кокос;;;;;;;1,00;190,00;;;190,00
;6311АКЦ НК Сливочная Лимончелло;;;;;;;1,00;190,00;;;190,00
;6313АКЦ НК Щавель;;;;;;;3,00;570,00;-19,00;;551,00
;6314Сет НК Черешня;;;;;;;9,00;1 438,20;;;1 438,20
;6315Сет НК Клубника Базилик;;;;;;;7,00;1 118,60;;;1 118,60
;6316Сет НК Кокос;;;;;;;11,00;1 757,80;;;1 757,80
;6317Сет НК Лимончелло;;;;;;;10,00;1 598,00;;;1 598,00
;6318Сет НК Фейхоа мята;;;;;;;5,00;799,00;;;799,00
;6319Сет НК Щавель;;;;;;;7,00;1 118,60;;;1 118,60
;6353Студент Картофель ФРИ;;;;;;;3,00;360,00;;;360,00
;6356Студент Гамбургер;;;;;;;3,00;660,00;;;660,00
